run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_8,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,7.96
tune_9,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,8.17
tune_10,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,7.99
tune_1,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,7.0,2.78
tune_2,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,2.71
tune_3,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,8.0,2.68
tune_4,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,2.72
tune_5,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,7.0,2.67
tune_6,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,2.69
tune_7,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,2.65
tune_8,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,8.0,2.71
tune_9,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,2.73
tune_10,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,7.0,2.82
tune_1,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.12
tune_2,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.06
tune_3,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.08
tune_4,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,2.0,2.10
tune_5,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.07
tune_6,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.11
tune_7,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,2.0,2.10
tune_8,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.11
tune_9,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.11
tune_10,Tuning/hos_35_r1_1.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,3.0,2.06
tune_1,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.11
tune_2,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.04
tune_3,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.06
tune_4,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.10
tune_5,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.02
tune_6,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.06
tune_7,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.09
tune_8,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.02
